Title,Mood,album_artist,grouping,rating,bpm,key,duration,genre,composer,album,artist,Audio Filename,Cover Art Filename,Groove,Rhythm Density,Phrase Length,Percussive Shape,Energy Level
A New Dawn,"Chill, Comforting, Dreamy, Hopeful, Intimate",Eleven,,0,0,,0,,,,,A_New_Dawn.flac,A_New_Dawn.jpg,straight,5,8,balanced,4
Abyssal Mix,,-,,0,0,,0,,,,,Abyssal_Mix.flac,Abyssal_Mix.jpg,,,,,
Backwards Bloom,"Cinematic, Dreamy, Energetic, Gritty, Nostalgic, Tense",Eleven,Primer,5,128.25,C#m,212.999979166,Lo-fi,,Stranger Vibes,StudioRich,Backwards_Bloom.flac,Backwards_Bloom.jpg,,,,,
Blue Hoodie,"Dark, Gritty, Haunting, Lonely, Melancholy",Max,Withdrawal,5,79.25,Bb,122.439979166,Lo-fi,,Stranger Vibes,StudioRich,Blue_Hoodie.flac,Blue_Hoodie.jpg,,,,,
Blue Hoodie (A-Side),"Chill, Dreamy, Haunting, Intimate",Max,Withdrawal,5,71.75,Db,153.879979166,Lo-fi,,Stranger Vibes,StudioRich,Blue_Hoodie_--A-Side--.flac,Blue_Hoodie_--A-Side--.jpg,,,,,
Blur Escape,"Dark, Dreamy, Gritty, Intimate, Lonely",Max,Flight,5,92.044682996224,Bb,159.999979166,Lo-fi,,Stranger Vibes,StudioRich,Blur_Escape.flac,Blur_Escape.jpg,,,,,
Blur Escape (A-Side),"Dark, Gritty, Haunting, Playful, Tense",Max,Flight,5,120,Ab,143.919979166,Lo-fi,,Stranger Vibes,StudioRich,Blur_Escape_--A-Side--.flac,Blur_Escape_--A-Side--.jpg,,,,,
Brotherhood Beat  (A-Side),"Chill, Dreamy, Intimate, Lonely",Lucas,Legacy,5,93,Db,123.799979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--A-Side--.flac,Brotherhood_Beat_--A-Side--.jpg,,,,,
Brotherhood Beat  (B-Side),"Chill, Comforting, Dreamy, Hopeful, Lonely",Lucas,Legacy,5,86,Db,102.079979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--B-Side--.flac,Brotherhood_Beat_--B-Side--.jpg,,,,,
Brotherhood Beat (C-Side),"Cinematic, Dreamy, Intimate, Lonely",Lucas,Legacy,5,81,B,136.959979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--C-Side--.flac,Brotherhood_Beat_--C-Side--.jpg,,,,,
Brotherhood Beat (D-Side),"Cinematic, Comforting, Dreamy, Intimate, Melancholy",Lucas,Legacy,5,84,D,138.959979166,Lo-fi,,Stranger Vibes,StudioRich,Brotherhood_Beat_--D-Side--.flac,Brotherhood_Beat_--D-Side--.jpg,,,,,
California Sunspot,"Chill, Cinematic, Dark, Dreamy, Gritty, Hopeful, Intimate",Max,Echo,5,138,Eb,112.999979166,Lo-fi,,Stranger Vibes,StudioRich,California_Sunspot.flac,California_Sunspot.jpg,,,,,
California Sunspot (A-Side),"Cinematic, Dreamy, Gritty, Hopeful, Melancholy, Tense",Max,Echo,5,94,Bb,147.479979166,Lo-fi,,Stranger Vibes,StudioRich,California_Sunspot_--A-Side--.flac,California_Sunspot_--A-Side--.jpg,,,,,
Cassette Crush,"Comforting, Dreamy, Intimate, Playful",Max,,0,0,,0,,,,,Cassette_Crush.flac,Cassette_Crush.jpg,,,,,
Cassette Gravity,"Cinematic, Dark, Haunting, Tense",Max,Weight,5,118.166666666667,Ebm,146.119979166,Lo-fi,,Stranger Vibes,StudioRich,Cassette_Gravity.flac,Cassette_Gravity.jpg,,,,,
Cassette Gravity (A-Side),"Agrressive, Chill, Melancholy, Tense",Max,Weight,5,156.08333333,B,147.679979166,Lo-fi,,Stranger Vibes,StudioRich,Cassette_Gravity_--A-Side--.flac,Cassette_Gravity_--A-Side--.jpg,,,,,
Cherry Sparkles,"Cinematic, Dreamy, Weightless",Max,,0,0,,0,,,,,Cherry_Sparkles.flac,Cherry_Sparkles.jpg,,,,,
Dreams In Rewind,"Cinematic, Comforting, Dreamy, Intimate",Max,,0,0,,0,,,,,Dreams_in_Rewind.flac,Dreams_In_Rewind.jpg,,,,,
Driveway Fadeout,"Dreamy, Intimate, Nostalgic",Max,Echo,5,71.833333333333,Db,97.439979166,Lo-fi,,Stranger Vibes,StudioRich,Driveway_Fadeout.flac,Driveway_Fadeout.jpg,,,,,
Driveway Fadeout (A-Side),"Agrressive, Cinematic, Dark, Energetic, Gritty",Max,Echo,5,82.75,Bb,92.919979166,Lo-fi,,Stranger Vibes,StudioRich,Driveway_Fadeout_--A-Side--.flac,Driveway_Fadeout_--A-Side--.jpg,,,,,
Echoes Of Nostalgia,"Cinematic, Dreamy, Hopeful, Weightless",Eleven,,0,0,,0,,,,,Echoes_of_Nostalgia.flac,Echoes_Of_Nostalgia.jpg,,,,,
Echoes of Time (A-Side),"Chill, Cinematic, Gritty, Lonely, Tense",Eleven,Primer,5,128.083333333333,C,180.199979166,Lo-fi,,Stranger Vibes,StudioRich,Echoes_of_Time_--A-Side--.flac,Echoes_of_Time_--A-Side--.jpg,,,,,
Echoes of Time (C-Side),"Cinematic, Dreamy, Energetic, Gritty, Nostalgic",Eleven,Primer,5,128,C#m,212.999979166,Lo-fi,,Stranger Vibes,StudioRich,Echoes_of_Time_--C-Side--.flac,Echoes_of_Time_--C-Side--.jpg,,,,,
Empty Hall Echo,"Cinematic, Dreamy, Energetic, Hopeful, Nostalgic",Max,Echo,5,84.416666666667,F#,106.039979166,Lo-fi,,Stranger Vibes,StudioRich,Empty_Hall_Echo.flac,Empty_Hall_Echo.jpg,,,,,
Empty Hall Echo (A-Side),"Cinematic, Intimate, Melancholy, Nostalgic, Tense",Max,Echo,5,112.66666667,G#m,98.799979166,Lo-fi,,Stranger Vibes,StudioRich,Empty_Hall_Echo_--A-Side--.flac,Empty_Hall_Echo_--A-Side--.jpg,,,,,
Fade Out Glow (A-Side),"Chill, Comforting, Dreamy, Intimate, Nostalgic",Lucas,Legacy,5,85,Db,110.079979166,Lo-fi,,Stranger Vibes,StudioRich,Fade_Out_Glow_--A-Side--.flac,Fade_Out_Glow_--A-Side--.jpg,,,,,
Fade Out Glow (B-Side),"Chill, Gritty, Melancholy, Tense",Lucas,Legacy,5,81,Bm,119.359979166,Lo-fi,,Stranger Vibes,StudioRich,Fade_Out_Glow_--B-Side--.flac,Fade_Out_Glow_--B-Side--.jpg,,,,,
Fade Out Glow (C-Side),"Chill, Dreamy, Intimate, Nostalgic, Weightless",Lucas,Legacy,5,80,Db,149.999979166,Lo-fi,,Stranger Vibes,StudioRich,Fade_Out_Glow_--C-Side--.flac,Fade_Out_Glow_--C-Side--.jpg,,,,,
Fade Out Glow (D-Side),"Chill, Gritty, Intimate, Nostalgic",Lucas,Legacy,5,81,Db,145.879979166,Lo-fi,,Stranger Vibes,StudioRich,Fade_Out_Glow_--D-Side--.flac,Fade_Out_Glow_--D-Side--.jpg,,,,,
Flicker at Dusk,"Chill, Comforting, Dreamy, Hopeful, Nostalgic",Eleven,Primer,5,85.038795860539,E,144.159979166,Lo-fi,,Stranger Vibes,StudioRich,Flicker_at_Dusk.flac,Flicker_at_Dusk.jpg,,,,,
Float Collapse,"Chill, Comforting, Dreamy, Haunting, Nostalgic",Max,Break,5,83,Dm,113.759979166,Lo-fi,,Stranger Vibes,StudioRich,Float_Collapse.flac,Float_Collapse.jpg,,,,,
Float Collapse (A-Side),"Chill, Dreamy, Gritty, Melancholy, Tense",Max,Break,5,84,G#m,114.279979166,Lo-fi,,Stranger Vibes,StudioRich,Float_Collapse_--A-Side--.flac,Float_Collapse_--A-Side--.jpg,,,,,
Forest Rhythms,"Intimate, Melancholy, Nostalgic, Tense",Eleven,,0,0,,0,,,,,Forest_Rhythms.flac,Forest_Rhythms.jpg,,,,,
Fourth Period Fog,"Chill, Dreamy, Intimate, Nostalgic",Max,Weight,5,94,Db,102.079979166,Lo-fi,,Stranger Vibes,StudioRich,Fourth_Period_Fog.flac,Fourth_Period_Fog.jpg,,,,,
Fourth Period Fog (A-Side),"Chill, Dreamy, Hopeful, Melancholy, Weightless",Max,Weight,5,124.16666667,F#,145.839979166,Lo-fi,,Stranger Vibes,StudioRich,Fourth_Period_Fog_--A-Side--.flac,Fourth_Period_Fog_--A-Side--.jpg,,,,,
Fracture Point Break (A-Side),"Cinematic, Dreamy, Gritty, Tense",Max,Break,5,152,F#,129.439979166,Lo-fi,,Stranger Vibes,StudioRich,Fracture_Point_Break_--A-Side--.flac,Fracture_Point_Break_--A-Side--.jpg,,,,,
Fracture Point Break (B-Side),"Chill, Comforting, Dreamy, Hopeful, Intimate, Lonely",Max,Break,5,80,Bb,149.919979166,Lo-fi,,Stranger Vibes,StudioRich,Fracture_Point_Break_--B-Side--.flac,Fracture_Point_Break_--B-Side--.jpg,,,,,
Fracture Point Break (C-Side),"Intimate, Melancholy, Nostalgic",Max,Break,5,74.41666667,D,131.079979166,Lo-fi,,Stranger Vibes,StudioRich,Fracture_Point_Break_--C-Side--.flac,Fracture_Point_Break_--C-Side--.jpg,,,,,
Fracture Point Break (D-Side),"Dreamy, Gritty, Intimate, Melancholy, Nostalgic",Max,Break,5,88,Fm,174.879979166,Lo-fi,,Stranger Vibes,StudioRich,Fracture_Point_Break_--D-Side--.flac,Fracture_Point_Break_--D-Side--.jpg,,,,,
Fracture Point Break (E-Side),"Dreamy, Melancholy, Nostalgic, Weightless",Max,Break,5,151.97094239,Eb,148.079979166,Lo-fi,,Stranger Vibes,StudioRich,Fracture_Point_Break_--E-Side--.flac,Fracture_Point_Break_--E-Side--.jpg,,,,,
Fracture Point Break (F-Side),"Chill, Dreamy, Gritty, Lonely, Melancholy",Max,Break,5,75.5,Eb,142.719979166,Lo-fi,,Stranger Vibes,StudioRich,Fracture_Point_Break_--F-Side--.flac,Fracture_Point_Break_--F-Side--.jpg,,,,,
Ghost Train to Hawkins,"Chill, Cinematic, Dreamy, Gritty, Nostalgic",Eleven,Primer,5,142.41666667,Am,125.479979166,Lo-fi,,Stranger Vibes,StudioRich,Ghost_Train_to_Hawkins.flac,Ghost_Train_to_Hawkins.jpg,,,,,
Half-Light Memory,"Chill, Dreamy, Hopeful, Melancholy, Nostalgic",Eleven,Primer,5,142,B,164.519979166,Lo-fi,,Stranger Vibes,StudioRich,Half-Light_Memory.flac,Half-Light_Memory.jpg,,,,,
Headphones In,"Chill, Gritty, Haunting, Hopeful, Tense",Max,Break,5,80.166666666667,Bb,139.839979166,Lo-fi,,Stranger Vibes,StudioRich,Headphones_In.flac,Headphones_In.jpg,,,,,
Headphones In (A-Side),"Chill, Dreamy, Gritty, Weightless",Max,Break,5,118,D,162.759979166,Lo-fi,,Stranger Vibes,StudioRich,Headphones_In_--A-Side--.flac,Headphones_In_--A-Side--.jpg,,,,,
Last Scene In Shadows,"Cinematic, Gritty, Haunting, Melancholy, Tense",Eleven,,0,0,,0,,,,,Last_Scene_in_Shadows.flac,Last_Scene_In_Shadows.jpg,,,,,
Letters Left,"Cinematic, Dreamy, Melancholy, Nostalgic, Playful",Max,Echo,5,164,Db,144.959979166,Lo-fi,,Stranger Vibes,StudioRich,Letters_Left.flac,Letters_Left.jpg,,,,,
Letters Left (A-Side),"Dreamy, Haunting, Melancholy, Playful, Weightless",Max,Echo,5,80,Db,174.879979166,Lo-fi,,Stranger Vibes,StudioRich,Letters_Left_--A-Side--.flac,Letters_Left_--A-Side--.jpg,,,,,
Light Rewind (A-Side),"Dreamy, Energetic, Melancholy, Nostalgic, Playful",Lucas,Legacy,5,99,F,188.679979166,Lo-fi,,Stranger Vibes,StudioRich,Light_Rewind_--A-Side--.flac,Light_Rewind_--A-Side--.jpg,,,,,
Light Rewind (B-Side),"Cinematic, Dark, Energetic",Lucas,Legacy,5,100,Bb,95.959979166,Lo-fi,,Stranger Vibes,StudioRich,Light_Rewind_--B-Side--.flac,Light_Rewind_--B-Side--.jpg,,,,,
Light Rewind (C-Side),"Chill, Cinematic, Gritty, Intimate, Lonely",Lucas,Legacy,5,80.110437960903,G,108.999979166,Lo-fi,,Stranger Vibes,StudioRich,Light_Rewind_--C-Side--.flac,Light_Rewind_--C-Side--.jpg,,,,,
Light Rewind (D-Side),"Chill, Dreamy, Gritty, Melancholy, Nostalgic",Lucas,Legacy,5,84,Fm,148.959979166,Lo-fi,,Stranger Vibes,StudioRich,Light_Rewind_--D-Side--.flac,Light_Rewind_--D-Side--.jpg,,,,,
Lo-Fi Defiance,"Chill, Dark, Intimate, Lonely, Melancholy",Eleven,Primer,5,138.583333333333,Bb,138.519979166,Lo-fi,,Stranger Vibes,StudioRich,Lo-Fi_Defiance.flac,Lo-Fi_Defiance.jpg,,,,,
Lucas’ Loop (A-Side),"Chill, Comforting, Dreamy, Gritty, Tense, Weightless",Lucas,Legacy,5,76.583333333333,B,137.919979166,Lo-fi,,Stranger Vibes,StudioRich,Lucas’_Loop_--A-Side--.flac,Lucas’_Loop_--A-Side--.jpg,,,,,
Lucas’ Loop (B-Side),"Chill, Comforting, Dreamy, Gritty, Weightless",Lucas,Legacy,5,79.166666666667,Cm,146.959979166,Lo-fi,,Stranger Vibes,StudioRich,Lucas’_Loop_--B-Side--.flac,Lucas’_Loop_--B-Side--.jpg,,,,,
Lucas’ Loop (C-Side),"Chill, Dark, Dreamy, Lonely, Melancholy",Lucas,Legacy,5,137,E,102.199979166,Lo-fi,,Stranger Vibes,StudioRich,Lucas’_Loop_--C-Side--.flac,Lucas’_Loop_--C-Side--.jpg,,,,,
Lucas’ Loop (D-Side),"Chill, Dreamy, Lonely, Melancholy, Weightless",Lucas,Legacy,5,146,D,185.839979166,Lo-fi,,Stranger Vibes,StudioRich,Lucas’_Loop_--D-Side--.flac,Lucas’_Loop_--D-Side--.jpg,,,,,
Maxine’s Drift,"Chill, Comforting, Dreamy, Gritty, Nostalgic",Max,Echo,5,87.887279005249,Cm,141.959979166,Lo-fi,,Stranger Vibes,StudioRich,Maxine’s_Drift.flac,Maxine’s_Drift.jpg,,,,,
Maxine’s Drift (A-Side),"Chill, Dreamy, Gritty, Lonely, Melancholy, Weightless",Max,Echo,5,120,Bb,131.959979166,Lo-fi,,Stranger Vibes,StudioRich,Maxine’s_Drift_--A-Side--.flac,Maxine’s_Drift_--A-Side--.jpg,,,,,
Mayfield (C-Minor),"Cinematic, Dreamy, Energetic, Hopeful, Weightless",Max,,0,0,,0,,,,,Mayfield_--C-minor--.flac,Mayfield_--C-Minor--.jpg,,,,,
Mayfield (D-Minor),"Cinematic, Dreamy, Energetic, Hopeful, Weightless",Max,,0,0,,0,,,,,Mayfield_--D-minor--.flac,Mayfield_--D-Minor--.jpg,,,,,
Midnight Court,"Chill, Comforting, Dreamy, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Midnight_Court.flac,Midnight_Court.jpg,,,,,
Midnight Court (B-Side),"Chill, Comforting, Dreamy, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Midnight_Court_--B-Side--.flac,Midnight_Court_--B-Side--.jpg,,,,,
Midnight Shadows,"Gritty, Haunting, Lonely, Melancholy, Tense",Eleven,,0,0,,0,,,,,Midnight_Shadows.flac,Midnight_Shadows.jpg,,,,,
Mind Drip,"Dreamy, Energetic, Gritty, Playful",Eleven,Primer,5,134,B,98.399979166,Lo-fi,,Stranger Vibes,StudioRich,Mind_Drip.flac,Mind_Drip.jpg,,,,,
Mirror Shard,"Chill, Dreamy, Gritty, Nostalgic",Max,Flight,5,85.5,C#m,148.479979166,Lo-fi,,Stranger Vibes,StudioRich,Mirror_Shard.flac,Mirror_Shard.jpg,,,,,
Mirror Shard (A-Side),"Cinematic, Dreamy, Intimate, Nostalgic",Max,Flight,5,86.29255411,Ab,133.559979166,Lo-fi,,Stranger Vibes,StudioRich,Mirror_Shard_--A-Side--.flac,Mirror_Shard_--A-Side--.jpg,,,,,
Mood for Leaving,"Chill, Dreamy, Hopeful, Intimate",Eleven,Primer,5,95,Ab,90.919979166,Lo-fi,,Stranger Vibes,StudioRich,Mood_for_Leaving.flac,Mood_for_Leaving.jpg,,,,,
Muted Sunrise,"Chill, Dark, Lonely, Melancholy",Max,Withdrawal,5,110,Eb,138.159979166,Lo-fi,,Stranger Vibes,StudioRich,Muted_Sunrise.flac,Muted_Sunrise.jpg,,,,,
Muted Sunrise (A-Side),"Cinematic, Dreamy, Weightless",Max,Withdrawal,5,120,F#,159.959979166,Lo-fi,,Stranger Vibes,StudioRich,Muted_Sunrise_--A-Side--.flac,Muted_Sunrise_--A-Side--.jpg,,,,,
Neon Crush,"Chill, Dreamy, Intimate, Nostalgic, Weightless",Max,,0,0,,0,,,,,Neon_Crush.flac,Neon_Crush.jpg,,,,,
No Signal,"Chill, Dreamy, Energetic, Intimate, Tense, Weightless",Max,Weight,5,160,C,198.039979166,Lo-fi,,Stranger Vibes,StudioRich,No_Signal.flac,No_Signal.jpg,,,,,
No Signal (A-Side),"Chill, Dark, Gritty, Tense",Max,Weight,5,88,Bb,119.919979166,Lo-fi,,Stranger Vibes,StudioRich,No_Signal_--A-Side--.flac,No_Signal_--A-Side--.jpg,,,,,
Nowhere Shortcut,"Agrressive, Energetic, Gritty, Playful, Tense",Max,Flight,5,101.416666666667,Eb,114.919979166,Lo-fi,,Stranger Vibes,StudioRich,Nowhere_Shortcut.flac,Nowhere_Shortcut.jpg,,,,,
Nowhere Shortcut (A-Side),"Agrressive, Energetic, Gritty, Playful",Max,Flight,5,105.54005053,Cm,138.679979166,Lo-fi,,Stranger Vibes,StudioRich,Nowhere_Shortcut_--A-Side--.flac,Nowhere_Shortcut_--A-Side--.jpg,,,,,
Piano Of Solitude,"Haunting, Lonely, Melancholy, Tense, Weightless",Eleven,,0,0,,0,,,,,Piano_of_Solitude.flac,Piano_Of_Solitude.jpg,,,,,
Prove It,"Chill, Comforting, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Prove_It.flac,Prove_It.jpg,,,,,
Prove It (B-Side),"Chill, Comforting, Dreamy, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Prove_It_--B-Side--.flac,Prove_It_--B-Side--.jpg,,,,,
Quiet Frequencies,"Chill, Comforting, Dreamy, Hopeful, Intimate",Eleven,Primer,5,87.58333333,Dm,138.479979166,Lo-fi,,Stranger Vibes,StudioRich,Quiet_Frequencies.flac,Quiet_Frequencies.jpg,,,,,
Red Sky Break,"Chill, Comforting, Dreamy, Gritty, Melancholy",Max,Flight,5,77.416666666667,Db,125.119979166,Lo-fi,,Stranger Vibes,StudioRich,Red_Sky_Break.flac,Red_Sky_Break.jpg,,,,,
Red Sky Break (A-Side),"Gritty, Hopeful, Intimate",Max,Flight,5,154,F#,127.239979166,Lo-fi,,Stranger Vibes,StudioRich,Red_Sky_Break_--A-Side--.flac,Red_Sky_Break_--A-Side--.jpg,,,,,
Remote Ghost,"Dark, Dreamy, Lonely, Melancholy",Max,Withdrawal,5,80,Ab,95.959979166,Lo-fi,,Stranger Vibes,StudioRich,Remote_Ghost.flac,Remote_Ghost.jpg,,,,,
Remote Ghost (A-Side),"Chill, Dreamy, Haunting, Intimate, Lonely, Melancholy",Max,Withdrawal,5,140,Bbm,138.799979166,Lo-fi,,Stranger Vibes,StudioRich,Remote_Ghost_--A-Side--.flac,Remote_Ghost_--A-Side--.jpg,,,,,
Retro Pulse,"Cinematic, Dreamy, Intimate, Nostalgic, Weightless",Max,,0,0,,0,,,,,Retro_Pulse.flac,Retro_Pulse.jpg,,,,,
Revival Of The Flame,"Dreamy, Energetic, Gritty, Playful",Eleven,,0,0,,0,,,,,Revival_of_the_Flame.flac,Revival_Of_The_Flame.jpg,,,,,
Roll Call (A-Side),"Chill, Dreamy, Gritty, Intimate",Lucas,Legacy,5,85.083333333333,Db,128.919979166,Lo-fi,,Stranger Vibes,StudioRich,Roll_Call_--A-Side--.flac,Roll_Call_--A-Side--.jpg,,,,,
Roll Call (B-Side),"Chill, Dreamy, Gritty, Intimate, Playful",Lucas,Legacy,5,82.166666666667,Eb,123.279979166,Lo-fi,,Stranger Vibes,StudioRich,Roll_Call_--B-Side--.flac,Roll_Call_--B-Side--.jpg,,,,,
Roll Call (C-Side),"Cinematic, Dark, Intimate, Lonely, Nostalgic",Lucas,Legacy,5,77,Ebm,87.239979166,Lo-fi,,Stranger Vibes,StudioRich,Roll_Call_--C-Side--.flac,Roll_Call_--C-Side--.jpg,,,,,
Roll Call (D-Side),"Cinematic, Gritty, Intimate, Lonely, Melancholy, Nostalgic",Lucas,Legacy,5,85,Ebm,107.959979166,Lo-fi,,Stranger Vibes,StudioRich,Roll_Call_--D-Side--.flac,Roll_Call_--D-Side--.jpg,,,,,
Run Loop,"Chill, Gritty, Intimate",Max,Flight,5,91,Cm,106.119979166,Lo-fi,,Stranger Vibes,StudioRich,Run_Loop.flac,Run_Loop.jpg,,,,,
Run Loop (A-Side),"Chill, Comforting, Dark, Gritty, Tense",Max,Flight,5,84.33333333,Ebm,121.079979166,Lo-fi,,Stranger Vibes,StudioRich,Run_Loop_--A-Side--.flac,Run_Loop_--A-Side--.jpg,,,,,
Scout’s Promise,"Chill, Comforting, Dreamy, Gritty, Nostalgic",Lucas,,0,0,,0,,,,,Scout’s_Promise.flac,Scout's_Promise.jpg,,,,,
Scout’s Promise (B-Side),"Chill, Comforting, Dreamy, Gritty, Nostalgic",Lucas,,0,0,,0,,,,,Scout’s_Promise_--B-Side--.flac,Scout’s_Promise_--B-Side--.jpg,,,,,
Sidewalk Sunrise,"Chill, Comforting, Dreamy, Energetic, Hopeful",Eleven,Primer,5,84,C,144.279979166,Lo-fi,,Stranger Vibes,StudioRich,Sidewalk_Sunrise.flac,Sidewalk_Sunrise.jpg,,,,,
Skatepark Ruins,"Cinematic, Gritty, Weightless",Max,Weight,5,120,Am,149.959979166,Lo-fi,,Stranger Vibes,StudioRich,Skatepark_Ruins.flac,Skatepark_Ruins.jpg,,,,,
Skatepark Ruins (A-Side),"Dreamy, Gritty, Haunting, Lonely",Max,Weight,5,117.75,Bbm,114.239979166,Lo-fi,,Stranger Vibes,StudioRich,Skatepark_Ruins--A-Side--.flac,Skatepark_Ruins_--A-Side--.jpg,,,,,
Sleepwalking Home,"Chill, Dreamy, Gritty, Intimate, Lonely",Eleven,Primer,5,150,Bm,182.439979166,Lo-fi,,Stranger Vibes,StudioRich,Sleepwalking_Home.flac,Sleepwalking_Home.jpg,,,,,
Soft Entry,"Lonely, Melancholy, Tense, Weightless",Eleven,,0,0,,0,,,,,Soft_Entry.flac,Soft_Entry.jpg,,,,,
Soft Return,"Chill, Dreamy, Hopeful, Nostalgic",Eleven,Primer,5,89.75,Eb,153.799979166,Lo-fi,,Stranger Vibes,StudioRich,Soft_Return.flac,Soft_Return.jpg,,,,,
Solitude's Reflection,"Dreamy, Hopeful, Weightless",Eleven,,0,0,,0,,,,,Solitude's_Reflection.flac,Solitude's_Reflection.jpg,,,,,
Solo Stand,"Chill, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Solo_Stand.flac,Solo_Stand.jpg,,,,,
Solo Stand (B-Side),"Chill, Comforting, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Solo_Stand_--B-Side--.flac,Solo_Stand_--B-Side--.jpg,,,,,
Static Memory,"Dreamy, Hopeful, Melancholy",Max,Echo,5,145.833333333333,B,113.399979166,Lo-fi,,Stranger Vibes,StudioRich,Static_Memory.flac,Static_Memory.jpg,,,,,
Static Memory (A-Side),"Hopeful, Lonely, Melancholy",Max,Echo,5,80,D,149.839979166,Lo-fi,,Stranger Vibes,StudioRich,Static_Memory_--A-Side--.flac,Static_Memory_--A-Side--.jpg,,,,,
Static Sleepwalker,"Chill, Dreamy, Gritty, Melancholy, Nostalgic",Eleven,Primer,5,162.25,C,122.719979166,Lo-fi,,Stranger Vibes,StudioRich,Static_Sleepwalker.flac,Static_Sleepwalker.jpg,,,,,
Submerged Notes,"Cinematic, Dreamy, Hopeful, Tense, Weightless",Eleven,,0,0,,0,,,,,Submerged_Notes.flac,Submerged_Notes.jpg,,,,,
Tape from the Other Side,"Cinematic, Dreamy, Haunting, Hopeful, Intimate, Melancholy",Stranger Vibes Poster,Primer,5,76,B,87.519979166,Lo-fi,,Stranger Vibes,StudioRich,Tape_from_the_Other_Side.flac,Tape_from_the_Other_Side.jpg,,,,,
Tape From The Other Side (Studiorich Edit),"Cinematic, Dreamy, Haunting, Hopeful, Intimate, Melancholy",-,,0,0,,0,,,,,Tape_from_the_Other_Side_--StudioRich_Edit--.flac,Tape_From_The_Other_Side_--Studiorich_Edit--.jpg,,,,,
Transmission  Unknown Vol.1,,-,,0,0,,0,,,,,Transmission__Unknown_Vol.1.flac,Transmission__Unknown_Vol._1.jpg,,,,,
Turnaround Fade,"Dreamy, Hopeful, Lonely, Melancholy, Nostalgic",Max,Break,5,82,Db,156.039979166,Lo-fi,,Stranger Vibes,StudioRich,Turnaround_Fade.flac,Turnaround_Fade.jpg,,,,,
Turnaround Fade (A-Side),"Cinematic, Dark, Intimate, Melancholy, Nostalgic",Max,Break,5,134.08333333,F#,141.279979166,Lo-fi,,Stranger Vibes,StudioRich,Turnaround_Fade_--A-Side--.flac,Turnaround_Fade_--A-Side--.jpg,,,,,
Weightless in the Rain,"Chill, Comforting, Dreamy, Hopeful, Intimate, Weightless",Eleven,Primer,5,87.08333333,D,133.679979166,Lo-fi,,Stranger Vibes,StudioRich,Weightless_in_the_Rain.flac,Weightless_in_the_Rain.jpg,,,,,
Weightless Memory Drive,,-,,0,0,,0,,,,,Weightless_Memory_Drive.flac,Weightless_Memory_Drive.jpg,,,,,
Window Fade,"Dark, Gritty, Haunting, Lonely, Melancholy",Max,Withdrawal,5,85.035226101666,Bb,103.999979166,Lo-fi,,Stranger Vibes,StudioRich,Window_Fade.flac,Window_Fade.jpg,,,,,
Window Fade (A-Side),"Chill, Cinematic, Dreamy, Haunting, Intimate, Melancholy",Max,Withdrawal,5,85,C,124.199979166,Lo-fi,,Stranger Vibes,StudioRich,Window_Fade_--A-Side--.flac,Window_Fade_--A-Side--.jpg,,,,,
Winning Shot,"Chill, Comforting, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Winning_Shot.flac,Winning_Shot.jpg,,,,,
Winning Shot (B-Side),"Chill, Comforting, Dreamy, Hopeful, Intimate",Lucas,,0,0,,0,,,,,Winning_Shot_--B-Side--.flac,Winning_Shot_--B-Side--.jpg,,,,,